company_id,event_date,event_type,agency,rating_from,rating_to,stated_reasons,mentions_working_capital,mentions_payables_stretch,source_url,source_type,pre_event_ar_available,days_between_ar_and_event
SHIVAM,2025-07-22,outlook_negative,CARE Ratings,CARE BB-; Stable,CARE BB-; Negative,Continued weak operational and financial risk profile; operating income fell to Rs 453.98 cr in FY25 from Rs 469.66 cr; net loss Rs 48.04 cr; overall gearing deteriorated to 10.94x from 7.29x; difficulties in managing working capital requirements leading to continued lesser production; liquidity stretched with negative GCA in FY25 against significant term debt repayment; GST show cause notice Rs 50.10 cr,true,,https://www.careratings.com/upload/CompanyFiles/PR/202507120704_Shivam_Autotech_Limited.pdf,rating_rationale,"yes (FY24 AR, 12-Aug-2024)",344
LOKESH,2025-02-24,outlook_negative,CARE Ratings,CARE BBB; Stable,CARE BBB; Negative,Decline in revenue and profitability in 9MFY25 resulting from inclusion of the company's name on the OFAC sanctions list; Q3FY25 revenue fell to Rs 51 cr from Rs 75 cr in Q2FY25; net loss Rs 4 cr in Q3FY25; working capital intensive operations with operating cycle of 166 days in FY24 (189 days in FY23); one key customer stopped awarding job work,true,,https://www.careratings.com/upload/CompanyFiles/PR/202502120211_Lokesh_Machines_Limited.pdf,rating_rationale,yes,194
SETCO,2025-09-03,downgrade,ICRA,[ICRA]B-(Stable),[ICRA]D,"Long-term NCDs of Rs 565 cr and proposed NCDs of Rs 20 cr downgraded to D, signifying instruments are in default or expected to be in default soon. Underlying reasons not detailed in the press source; the ICRA rationale itself was not read. Recorded against listed parent Setco Automotive Ltd on a consolidated basis; SASPL is its subsidiary.",,,https://www.autocarpro.in/news/setco-automotive-subsidiary-faces-credit-rating-downgrade-to-d-grade-128450,press,yes,22
SETCO,2024-05-21,going_concern,ICRA,[ICRA]B-(Stable),[ICRA]B-(Stable),Context reaffirmation (NOT a distress event itself): weak financial profile with net loss of Rs 122 cr in FY2024 (Rs 209.3 cr in FY2023); continuous delays in debt servicing by associate concern Lava Cast Pvt Ltd; liquidity stretched with ~99% average monthly utilisation of fund-based working capital limits; Rs 565 cr repayment due FY2026,true,,https://www.icra.in/Rating/GetRationalReportFilePdf?id=127593,rating_rationale,"yes (FY24 AR, 12-Jul-2024)",
SETCO,2025-05-27,going_concern,Auditor (consolidated audit report),,,"Material Uncertainty related to Going Concern reproduced in the consolidated audit report for subsidiaries Setco Auto Systems Pvt Ltd (net loss Rs 11,224 lakh in FY25, Rs 11,790 lakh in FY24) and Lava Cast Pvt Ltd",true,,user-supplied PDF: Setco Automotive Annual Report 2024-25 p.128,auditor_report,same document,0
GENSOL,2025-03-03,downgrade,CARE Ratings,CARE BB+; Stable,CARE D,"Ongoing delays in the servicing of term loan obligation as per feedback from lenders; ""There have been delays in debt servicing by GEL along with pending over dues and SMA classification of the account""; ""GEL's liquidity remains poor as reflected by the ongoing delay in the debt servicing"". Interest coverage fell 3.47x (FY23) to 2.08x (FY24) to 1.35x (9MFY25).",true,,https://www.careratings.com/upload/CompanyFiles/PR/202503140312_Gensol_Engineering_Limited.pdf,rating_rationale,"yes (FY24 AR, 07-Sep-2024)",177
BESTAGRO,2025-08-22,downgrade,Crisil Ratings,Crisil BBB+/Stable,Crisil BBB/Stable,"""The downgrade reflects moderation in the group's business risk profile, driven primarily by its operating profitability for fiscal 2025, which fell short of expectations at ~11%""; net cash accruals fell to ~Rs 110 crore against an expected Rs 180-200 crore. Weaknesses cite working-capital-intensive operations with gross current assets averaging 250-300 days, bank lines ""highly utilized, averaging around 85% for the past 12 months ended May '25"", and explicit reliance on ""partial support from supplier credit"".",true,true,https://www.crisil.com/mnt/winshare/Ratings/RatingList/RatingDocs/BestAgrolifeLimited_August%2022_%202025_RR_373775.html,rating_rationale,"yes (FY24 AR, 06-Sep-2024)",350
BHS,2025-03-29,downgrade,CARE Ratings,CARE B+; Negative,CARE D,"Expected default on the upcoming instalment of optionally convertible debentures amounting to Rs 268 crore plus Rs 276 crore YTM premium due 31-Mar-2025, on ""poor liquidity and insufficient accruals""; free cash and bank balance of Rs 56.28 crore at 30-Sep-2024; Rs 5,383 crore invested in group companies with poor recovery history; PAT negative Rs 91.53 crore FY24 and negative Rs 217.09 crore 9MFY25. CARE made NO mention of working capital constraints, stretched payables or cane arrears.",false,false,https://www.careratings.com/upload/CompanyFiles/PR/202503140321_Bajaj_Hindusthan_Sugar_Limited.pdf,rating_rationale,"yes (FY24 AR, 31-05-2024)",302
NECTAR,2025-07-16,downgrade,CARE Ratings,CARE BB / CARE A4+,CARE BB- (RWN) / CARE A4 (RWN),"""Weak financial performance for Q4FY25 and FY25"" - net loss ~Rs 130 crore in Q4FY25 and ~Rs 114 crore for the year, including an inventory write-down of ~Rs 127 crore; announced sale of the API and formulation business to Ceph Lifesciences for Rs 1,270 crore, raising concerns about ""long-term sustainability of operations""; total debt to adjusted PBILDT worsened to 5.80x in FY25 from 4.01x in FY24. Liquidity explicitly described as ""Stretched"" with ""limited cushion available between cash accruals and repayment obligations"".",true,,https://www.careratings.com/upload/CompanyFiles/PR/202507120711_Nectar_Lifesciences_Limited.pdf,rating_rationale,"yes (FY24 AR, 14-08-2024)",336
JPA,2024-06-03,nclt_admission,NCLT Allahabad,,,"NCLT admitted Jaiprakash Associates to the corporate insolvency resolution process on a petition by ICICI Bank; the company had defaulted on approximately Rs 4,616 crore of loans. The suspended board's appeal was rejected by NCLAT.",,,https://www.business-standard.com/companies/news/nclt-begins-insolvency-proceedings-for-jaiprakash-associates-on-icici-plea-124060300933_1.html,press,"yes (FY23 AR, 08-09-2023)",269
