name,source,location,product_category
Arjun Forge Works Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Pune,forged_crankshaft
Bharat Precision Castings Udyog Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Rajkot,cast_cylinder_liner
Chandra Stamping Industries Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Faridabad,stamped_bracket_assembly
Dakshin Tool Works LLP,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Coimbatore,cnc_machined_flange
Nandi Fastener Systems Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Ludhiana,cold_forged_hex_bolt
Pavan Rubber Mouldings Udyog Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Chennai,rubber_engine_mount
Rajan Polymer Components Private Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Gurugram,plastic_moulded_clip
Suvarna Wire Harness Udyog Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Pune,wiring_harness_assembly
Tarun Spring Works Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Jamshedpur,compression_spring
Varun Sheet Metal Enterprises,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Faridabad,sheet_metal_panel
Isha Sensor Tech Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Bengaluru (Peenya),proximity_sensor
Lakshman Bearing Products Udyog Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Rajkot,ball_bearing_assembly
Mahesh Electroplating Works LLP,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Ludhiana,electroplated_connector
Omkar Seal Systems Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Ahmedabad,oil_seal_kit
Vaastu Thermal Products Udyog Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Manesar,thermal_shield_component
Jaya Forging Industries Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Pune,forged_connecting_rod
Kiran Cast Components Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Coimbatore,cast_pump_housing
Anand Stamped Parts Udyog Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Faridabad,stamped_reinforcement_plate
Balaji Precision Turned Enterprises,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Rajkot,cnc_turned_pivot_pin
Chirag Bolt Works Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Ludhiana,high_tensile_hex_bolt
Daksh Rubber Products LLP,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Chennai,rubber_bush_assembly
Gaurav Moulding Works Udyog Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Gurugram,moulded_grommet
Hemant Cable Assemblies Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Pune,cable_loom_harness
Indra Spring Industries Private Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Jamshedpur,coil_spring
Kavya Sheet Metal Works Udyog Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Faridabad,sheet_metal_tray
Lalith Sensor Systems Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Bengaluru (Peenya),temperature_sensor
Mangal Bearing Industries LLP,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Ahmedabad,roller_bearing
Naveen Zinc Plating Works Udyog Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Ludhiana,zinc_plated_bracket
Pradeep Seal Components Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Manesar,lip_seal_assembly
Rohan Thermal Gasket Enterprises,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Pune,thermal_gasket_set
Suraj Forged Parts Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Chakan,forged_steering_knuckle
Tanay Casting Works Udyog Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Rajkot,cast_manifold_body
Umesh Press Components Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Faridabad,stamped_washer
Vinay Gear Works Private Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Coimbatore,precision_spur_gear
Ashok Rubber Hose Udyog Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Chennai,rubber_coolant_hose
